"","National.Provider.Indentification","Plan.Name","Standardized.Add.1","Standardized.City","Standardized.State","Standardized.County.Name","Standardized.ZIP","License.Number","Medicaid.Provider.Identification.No","Provider.Primary.Specialty","Phone.Number"
"7377",1285957514,"Excellus Health Plan, Inc./Univera Healthcare","480 GENESEE ST","ROCHESTER","NY","Monroe",14611,NA,3198854,"PHARMACY",2352370
"7384",1285957514,"HealthNow of New York, Inc","480 GENESEE ST","ROCHESTER","NY","Monroe",14611,NA,3198854,"PHARMACY",2352370
"7392",1295012342,"Excellus Health Plan, Inc./Univera Healthcare","1135 STATE ROUTE 17C","OWEGO","NY","Tioga",13827,NA,3454877,"PHARMACY",6878779
"7393",1295012342,"Excellus Health Plan, Inc.","1135 STATE ROUTE 17C","OWEGO","NY","Tioga",13827,NA,3454877,"PHARMACY",6878779
"7402",1295012342,"MVP Health Plan, Inc.","1135 STATE ROUTE 17C","OWEGO","NY","Tioga",13827,"00031036",3454877,"PHARMACY",6878779
"7403",1295012342,"HealthNow of New York, Inc","1135 STATE ROUTE 17C","OWEGO","NY","Tioga",13827,NA,3454877,"PHARMACY",6878779
"7407",1295704088,"Excellus Health Plan, Inc.","601 AMHERST ST","BUFFALO","NY","Erie",14207,NA,1786098,"PHARMACY",8771477
"7408",1295704088,"Excellus Health Plan, Inc./Univera Healthcare","601 AMHERST ST","BUFFALO","NY","Erie",14207,NA,1786098,"PHARMACY",8771477
"7410",1295704088,"MVP Health Plan, Inc.","601 AMHERST ST","BUFFALO","NY","Erie",14207,"00023479",1786098,"PHARMACY",8771477
"7411",1295704088,"HealthNow of New York, Inc: Medicaid","601 AMHERST ST","BUFFALO","NY","Erie",14207,NA,1786098,"PHARMACY",8771477
"7413",1295704088,"HealthNow of New York, Inc","601 AMHERST ST","BUFFALO","NY","Erie",14207,NA,1786098,"PHARMACY",8771477
"7422",1295720530,"Excellus Health Plan, Inc.","210 WILLIAM ST","ELMIRA","NY","Chemung",14901,"0701203R",2002582,"HOSP-BASED/FREESTANDING AMBULAT SURGERY",7341305
"7423",1295720530,"Excellus Health Plan, Inc./Univera Healthcare","210 WILLIAM ST","ELMIRA","NY","Chemung",14901,"0701203R",2002582,"HOSP-BASED/FREESTANDING AMBULAT SURGERY",7341305
"7425",1295720530,"HealthNow of New York, Inc","210 WILLIAM ST","ELMIRA","NY","Chemung",14901,"0701203R",2002582,"HOSP-BASED/FREESTANDING AMBULAT SURGERY",7341305
"7427",1295722460,"Excellus Health Plan, Inc./Univera Healthcare","2365 UNION RD","BUFFALO","NY","Erie",14227,"1455300N",475232,"PHYSICAL THERAPY",6688100
"7429",1295722460,"HealthNow of New York, Inc","2365 UNION RD","BUFFALO","NY","Erie",14227,"1455300N",475232,"INSTITUTIONAL LTC",6688100
"7430",1295722460,"HealthNow of New York, Inc","2365 UNION RD","BUFFALO","NY","Erie",14227,"1455300N",475232,"NURSING HOME CARE SHORT TERM REHAB",6688100
"7431",1295722460,"HealthNow of New York, Inc: Medicaid","2365 UNION RD","BUFFALO","NY","Erie",14227,"1455300N",475232,"NURSING HOME CARE SHORT TERM REHAB",6688100
"7432",1295723534,"Excellus Health Plan, Inc./Univera Healthcare","716 JAMES ST","SYRACUSE","NY","Onondaga",13203,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",4724467
"7434",1295723534,"Excellus Health Plan, Inc.","716 JAMES ST","SYRACUSE","NY","Onondaga",13203,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",4724467
"7436",1295731123,"Excellus Health Plan, Inc.","555 SAINT JOSEPHS BLVD","ELMIRA","NY","Chemung",14901,"0701001H",99999999,"GENERAL HOSPITAL (ARTICLE 28)",7336541
"7437",1295731123,"Excellus Health Plan, Inc./Univera Healthcare","555 SAINT JOSEPHS BLVD","ELMIRA","NY","Chemung",14901,"0701001H",99999999,"GENERAL HOSPITAL (ARTICLE 28)",7336541
"7440",1295731123,"HealthNow of New York, Inc","555 SAINT JOSEPHS BLVD","ELMIRA","NY","Chemung",14901,"0701001H",363126,"GENERAL HOSPITAL (ARTICLE 28)",7336541
"7441",1295731123,"MVP Health Plan, Inc.","555 SAINT JOSEPHS BLVD","ELMIRA","NY","Chemung",14901,"0701001H",0,"GENERAL HOSPITAL (ARTICLE 28)",7336541
"7442",1295731123,"Excellus Health Plan, Inc.","571 SAINT JOSEPHS BLVD","ELMIRA","NY","Chemung",14901,"0701001H",99999999,"GENERAL HOSPITAL (ARTICLE 28)",7336541
"7443",1295731123,"Excellus Health Plan, Inc./Univera Healthcare","571 SAINT JOSEPHS BLVD","ELMIRA","NY","Chemung",14901,"0701001H",99999999,"GENERAL HOSPITAL (ARTICLE 28)",7336541
"7449",1295755627,"Excellus Health Plan, Inc.","325 WEST ST","CANANDAIGUA","NY","Ontario",14424,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",3942020
"7450",1295755627,"Excellus Health Plan, Inc./Univera Healthcare","325 WEST ST","CANANDAIGUA","NY","Ontario",14424,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",3942020
"7453",1295762128,"Excellus Health Plan, Inc.","1 ATWELL RD","COOPERSTOWN","NY","Otsego",13326,NA,99999999,"DURABLE MEDICAL EQUIPMENT",5473456
"7455",1295762128,"Excellus Health Plan, Inc./Univera Healthcare","1 ATWELL RD","COOPERSTOWN","NY","Otsego",13326,NA,99999999,"DURABLE MEDICAL EQUIPMENT",5473456
"7457",1295762128,"HealthNow of New York, Inc","1 ATWELL RD","COOPERSTOWN","NY","Otsego",13326,NA,1346501,"PHARMACY",5476681
"7458",1295762128,"Excellus Health Plan, Inc./Univera Healthcare","1 ATWELL RD","COOPERSTOWN","NY","Otsego",13326,NA,1346501,"PHARMACY",5476681
"7461",1295762128,"MVP Health Plan, Inc.","1 ATWELL RD","COOPERSTOWN","NY","Otsego",13326,"00021353",1346501,"PHARMACY",5476681
"7462",1295762128,"Excellus Health Plan, Inc.","1 ATWELL RD","COOPERSTOWN","NY","Otsego",13326,NA,1346501,"PHARMACY",5476681
"7471",1295779072,"MVP Health Plan, Inc.","3040 AMSDELL RD","HAMBURG","NY","Erie",14075,"00000000",0,"RADIOLOGY",6499000
"7472",1295779072,"MVP Health Plan, Inc.","3050 ORCHARD PARK RD","BUFFALO","NY","Erie",14224,"00000000",0,"RADIOLOGY",5585400
"7473",1295789485,"Excellus Health Plan, Inc.","603 E MAIN ST","PALMYRA","NY","Wayne",14522,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",5020072
"7474",1295789485,"Excellus Health Plan, Inc./Univera Healthcare","603 E MAIN ST","PALMYRA","NY","Wayne",14522,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",5020072
"7477",1295799070,"Excellus Health Plan, Inc.","31 THURBER DR","WATERLOO","NY","Seneca",13165,NA,357819,"PRIVATE PSYCH & ASA INPATIENT",5391985
"7478",1295799070,"Excellus Health Plan, Inc./Univera Healthcare","31 THURBER DR","WATERLOO","NY","Seneca",13165,NA,357819,"PRIVATE PSYCH & ASA INPATIENT",5391985
"7481",1295808079,"Excellus Health Plan, Inc./Univera Healthcare","3192 WALDEN AVE","DEPEW","NY","Erie",14043,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",6843124
"7483",1295808079,"Excellus Health Plan, Inc./Univera Healthcare","8425 BOSTON STATE RD","BOSTON","NY","Erie",14025,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",9415585
"7485",1295810182,"Excellus Health Plan, Inc./Univera Healthcare","20 WEST AVE","BROCKPORT","NY","Monroe",14420,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",6375858
"7486",1295810182,"Excellus Health Plan, Inc.","20 WEST AVE","BROCKPORT","NY","Monroe",14420,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",6375858
"7489",1295810182,"MVP Health Plan, Inc.","20 WEST AVE","BROCKPORT","NY","Monroe",14420,NA,99999999,"EYE/VISION CENTER",6375858
"7490",1295810877,"MVP Health Plan, Inc.","10 HAGEN DR","ROCHESTER","NY","Monroe",14625,"00000000",0,"EYE/VISION CENTER",5862020
"7491",1295810877,"MVP Health Plan, Inc.","10 HAGEN DR","ROCHESTER","NY","Monroe",14625,NA,99999999,"OPTHALMOLOGY - CLINIC SPECIALTY",5862020
"7492",1295810877,"MVP Health Plan, Inc.","1015 RIDGE RD","WEBSTER","NY","Monroe",14580,"00000000",0,"EYE/VISION CENTER",8721300
"7493",1295810877,"MVP Health Plan, Inc.","1015 RIDGE RD","WEBSTER","NY","Monroe",14580,NA,99999999,"OPTHALMOLOGY - CLINIC SPECIALTY",8721300
"7494",1295810877,"MVP Health Plan, Inc.","6600 MIDDLE RD","SODUS","NY","Wayne",14551,"00000000",0,"EYE/VISION CENTER",4830500
"7495",1295810877,"MVP Health Plan, Inc.","6600 MIDDLE RD","SODUS","NY","Wayne",14551,NA,99999999,"OPTHALMOLOGY - CLINIC SPECIALTY",4830500
"7496",1295810877,"MVP Health Plan, Inc.","919 WESTFALL RD","ROCHESTER","NY","Monroe",14618,"00000000",0,"EYE/VISION CENTER",2442580
"7497",1295817583,"Excellus Health Plan, Inc.","30 W STATE ST","BINGHAMTON","NY","Broome",13901,"17061104",635112,"PRIVATE PSYCH & ASA INPATIENT",7237308
"7498",1295817583,"Excellus Health Plan, Inc./Univera Healthcare","30 W STATE ST","BINGHAMTON","NY","Broome",13901,"17061104",635112,"PRIVATE PSYCH & ASA INPATIENT",7237308
"7499",1295817583,"MVP Health Plan, Inc.","30 W STATE ST","BINGHAMTON","NY","Broome",13901,"15061104",99999999,"PRIVATE PSYCH & ASA INPATIENT",7237308
"7504",1295835650,"Excellus Health Plan, Inc./Univera Healthcare","1616 BLACK RIVER BLVD N","ROME","NY","Oneida",13440,NA,798150,"PHARMACY",3395290
"7505",1295835650,"Excellus Health Plan, Inc.","1616 BLACK RIVER BLVD N","ROME","NY","Oneida",13440,NA,798150,"PHARMACY",3395290
"7511",1295835650,"HealthNow of New York, Inc","1616 BLACK RIVER BLVD N","ROME","NY","Oneida",13440,NA,798150,"PHARMACY",3395290
"7513",1295835650,"MVP Health Plan, Inc.","1616 BLACK RIVER BLVD N","ROME","NY","Oneida",13440,"00024016",798150,"PHARMACY",3395290
"7518",1295844520,"HealthNow of New York, Inc","114 N MAIN ST","SYRACUSE","NY","Onondaga",13212,"99999999",99999999,"DURABLE MEDICAL EQUIPMENT",4583363
"7519",1295844520,"Excellus Health Plan, Inc./Univera Healthcare","114 N MAIN ST","SYRACUSE","NY","Onondaga",13212,NA,1176030,"PHARMACY",4583363
"7520",1295844520,"HealthNow of New York, Inc","114 N MAIN ST","SYRACUSE","NY","Onondaga",13212,NA,1176030,"PHARMACY",4583363
"7522",1295844520,"Excellus Health Plan, Inc.","114 N MAIN ST","SYRACUSE","NY","Onondaga",13212,NA,1176030,"PHARMACY",4583363
"7529",1295844520,"MVP Health Plan, Inc.","114 N MAIN ST","SYRACUSE","NY","Onondaga",13212,"00020481",1176030,"PHARMACY",4583363
"7534",1295848786,"Excellus Health Plan, Inc./Univera Healthcare","4713 ONONDAGA BLVD","SYRACUSE","NY","Onondaga",13219,NA,2071089,"PHARMACY",4723832
"7535",1295848786,"Excellus Health Plan, Inc.","4713 ONONDAGA BLVD","SYRACUSE","NY","Onondaga",13219,NA,2071089,"PHARMACY",4723832
"7537",1295848786,"HealthNow of New York, Inc","4713 ONONDAGA BLVD","SYRACUSE","NY","Onondaga",13219,NA,2071089,"PHARMACY",4723832
"7538",1295848786,"MVP Health Plan, Inc.","4713 ONONDAGA BLVD","SYRACUSE","NY","Onondaga",13219,"00024719",2071089,"PHARMACY",4723832
"7548",1295854941,"Excellus Health Plan, Inc.","1295 PORTLAND AVE","ROCHESTER","NY","Monroe",14621,NA,99999999,"AUDIOLOGIST",4297771
"7549",1295854941,"Excellus Health Plan, Inc./Univera Healthcare","1295 PORTLAND AVE","ROCHESTER","NY","Monroe",14621,NA,99999999,"AUDIOLOGIST",4297771
"7552",1295854941,"HealthNow of New York, Inc: Medicaid","1295 PORTLAND AVE","ROCHESTER","NY","Monroe",14621,NA,99999999,"HEARING SERVICES (ORDERED AMBULATORY)",4297771
"7553",1295854941,"HealthNow of New York, Inc","1295 PORTLAND AVE","ROCHESTER","NY","Monroe",14621,"99999999",88888888,"HEARING SERVICES (ORDERED AMBULATORY)",4297771
"7554",1295875730,"Excellus Health Plan, Inc./Univera Healthcare","863 FAIRMOUNT AVE","JAMESTOWN","NY","Chautauqua",14701,NA,1423638,"PHARMACY",4841586
"7555",1295875730,"HealthNow of New York, Inc","863 FAIRMOUNT AVE","JAMESTOWN","NY","Chautauqua",14701,NA,1423638,"PHARMACY",4841586
"7556",1295875730,"Excellus Health Plan, Inc.","863 FAIRMOUNT AVE","JAMESTOWN","NY","Chautauqua",14701,NA,1423638,"PHARMACY",4841586
"7558",1295875730,"MVP Health Plan, Inc.","863 FAIRMOUNT AVE","JAMESTOWN","NY","Chautauqua",14701,"00022433",1423638,"PHARMACY",4841586
"7568",1295924272,"Excellus Health Plan, Inc.","960 RT 51","ILION","NY","Herkimer",13357,NA,99999999,"AMBULANCE",7246119
"7570",1295924272,"Excellus Health Plan, Inc./Univera Healthcare","960 RT 51","ILION","NY","Herkimer",13357,NA,99999999,"AMBULANCE",7246119
"7572",1295942993,"Excellus Health Plan, Inc./Univera Healthcare","1172 LONG POND RD","ROCHESTER","NY","Monroe",14626,NA,99999999,"INSTITUTIONAL LTC",2250450
"7573",1295942993,"Excellus Health Plan, Inc.","1172 LONG POND RD","ROCHESTER","NY","Monroe",14626,NA,99999999,"INSTITUTIONAL LTC",2250450
"7578",1295969350,"Excellus Health Plan, Inc.","435 E HENRIETTA RD","ROCHESTER","NY","Monroe",14620,NA,99999999,"HEMODIALYSIS",7602201
"7579",1295969350,"Excellus Health Plan, Inc./Univera Healthcare","435 E HENRIETTA RD","ROCHESTER","NY","Monroe",14620,NA,99999999,"HEMODIALYSIS",7602201
"7582",1295969350,"MVP Health Plan, Inc.","435 E HENRIETTA RD","ROCHESTER","NY","Monroe",14620,"00000000",0,"NEPHROLOGY - CLINIC SPECIALTY",2920076
"7583",1295985638,"HealthNow of New York, Inc","314 ELLICOTT ST","BATAVIA","NY","Genesee",14020,"1517L002",99999999,"HOME CARE - HOME HEALTH AIDE",1944277
"7584",1295985638,"HealthNow of New York, Inc: Medicaid","314 ELLICOTT ST","BATAVIA","NY","Genesee",14020,NA,99999999,"HOME CARE - HOME HEALTH AIDE",2194427
"7585",1295985638,"HealthNow of New York, Inc: Medicaid","314 ELLICOTT ST","BATAVIA","NY","Genesee",14020,NA,99999999,"CONSUMER DIRECTED PERSONAL CARE: LEVEL 1",1944277
"7586",1295985638,"HealthNow of New York, Inc","314 ELLICOTT ST","BATAVIA","NY","Genesee",14020,"99999999",99999999,"GENERAL MEDICINE - CLINIC SPECIALTY",2194427
"7587",1295985638,"HealthNow of New York, Inc: Medicaid","3620 HARLEM RD","BUFFALO","NY","Erie",14215,NA,99999999,"HOME CARE - HOME HEALTH AIDE",3422147
"7588",1295985638,"HealthNow of New York, Inc","3620 HARLEM RD","BUFFALO","NY","Erie",14215,"1517L002",99999999,"HOME CARE - HOME HEALTH AIDE",3422147
"7589",1295985638,"HealthNow of New York, Inc: Medicaid","3620 HARLEM RD","BUFFALO","NY","Erie",14215,NA,99999999,"CONSUMER DIRECTED PERSONAL CARE: LEVEL 1",3422147
"7590",1295985638,"HealthNow of New York, Inc","3620 HARLEM RD","BUFFALO","NY","Erie",14215,"99999999",99999999,"GENERAL MEDICINE - CLINIC SPECIALTY",3422147
"7591",1295985638,"HealthNow of New York, Inc: Medicaid","70 CARLSON RD","ROCHESTER","NY","Monroe",14610,NA,99999999,"HOME CARE - HOME HEALTH AIDE",5461600
"7592",1295985638,"HealthNow of New York, Inc","70 CARLSON RD","ROCHESTER","NY","Monroe",14610,"1517L002",99999999,"HOME CARE - HOME HEALTH AIDE",5461600
"7593",1295985638,"HealthNow of New York, Inc: Medicaid","70 CARLSON RD","ROCHESTER","NY","Monroe",14610,NA,99999999,"CONSUMER DIRECTED PERSONAL CARE: LEVEL 1",5461600
"7594",1295985638,"HealthNow of New York, Inc","70 CARLSON RD","ROCHESTER","NY","Monroe",14610,"1517L002",99999999,"GENERAL MEDICINE - CLINIC SPECIALTY",5461600
"7595",1306027644,"Excellus Health Plan, Inc.","2140 GRAND ISLAND BLVD","GRAND ISLAND","NY","Erie",14072,NA,2069712,"PHARMACY",7751169
"7597",1306027644,"Excellus Health Plan, Inc./Univera Healthcare","2140 GRAND ISLAND BLVD","GRAND ISLAND","NY","Erie",14072,NA,2069712,"PHARMACY",7751169
"7600",1306027644,"HealthNow of New York, Inc: Medicaid","2140 GRAND ISLAND BLVD","GRAND ISLAND","NY","Erie",14072,NA,2069712,"PHARMACY",7751169
"7605",1306027644,"HealthNow of New York, Inc","2140 GRAND ISLAND BLVD","GRAND ISLAND","NY","Erie",14072,NA,2069712,"PHARMACY",7751169
"7608",1306027644,"MVP Health Plan, Inc.","2140 GRAND ISLAND BLVD","GRAND ISLAND","NY","Erie",14072,"00024728",2069712,"PHARMACY",7751169
"7610",1306027651,"Excellus Health Plan, Inc.","2345 BUFFALO RD","ROCHESTER","NY","Monroe",14624,NA,1470662,"PHARMACY",2475425
"7613",1306027651,"Excellus Health Plan, Inc./Univera Healthcare","2345 BUFFALO RD","ROCHESTER","NY","Monroe",14624,NA,1470662,"PHARMACY",2475425
"7615",1306027651,"HealthNow of New York, Inc","2345 BUFFALO RD","ROCHESTER","NY","Monroe",14624,NA,1470662,"PHARMACY",2475425
"7618",1306027651,"HealthNow of New York, Inc: Medicaid","2345 BUFFALO RD","ROCHESTER","NY","Monroe",14624,NA,1470662,"PHARMACY",2475425
"7620",1306027651,"MVP Health Plan, Inc.","2345 BUFFALO RD","ROCHESTER","NY","Monroe",14624,"00022025",1470662,"PHARMACY",2475425
"7625",1306037437,"Excellus Health Plan, Inc./Univera Healthcare","431 HAMILTON ST","GENEVA","NY","Ontario",14456,NA,2939191,"PHARMACY",7819080
"7626",1306037437,"Excellus Health Plan, Inc.","431 HAMILTON ST","GENEVA","NY","Ontario",14456,NA,2939191,"PHARMACY",7819080
"7632",1306037437,"HealthNow of New York, Inc","431 HAMILTON ST","GENEVA","NY","Ontario",14456,NA,2939191,"PHARMACY",7819080
"7633",1306037437,"MVP Health Plan, Inc.","431 HAMILTON ST","GENEVA","NY","Ontario",14456,"00028548",2939191,"PHARMACY",7819080
"7635",1306063359,"HealthNow of New York, Inc","6338 TRANSIT RD","DEPEW","NY","Erie",14043,"99999999",2196298,"DURABLE MEDICAL EQUIPMENT",6514646
"7636",1306063359,"HealthNow of New York, Inc: Medicaid","6338 TRANSIT RD","DEPEW","NY","Erie",14043,NA,2196298,"DURABLE MEDICAL EQUIPMENT",6514646
"7637",1306081278,"Excellus Health Plan, Inc./Univera Healthcare","80 DENISON PKWY E","CORNING","NY","Steuben",14830,NA,563265,"PHARMACY",9363529
"7639",1306081278,"HealthNow of New York, Inc","80 DENISON PKWY E","CORNING","NY","Steuben",14830,NA,563265,"PHARMACY",9363529
"7641",1306081278,"Excellus Health Plan, Inc.","80 DENISON PKWY E","CORNING","NY","Steuben",14830,NA,563265,"PHARMACY",9363529
"7646",1306081278,"MVP Health Plan, Inc.","80 DENISON PKWY E","CORNING","NY","Steuben",14830,"00029331",3104029,"PHARMACY",9363529
"7647",1306119078,"HealthNow of New York, Inc","225 BENNETT RD","BUFFALO","NY","Erie",14227,"1455303N",1243512,"INSTITUTIONAL LTC",7735900
"7648",1306119078,"HealthNow of New York, Inc: Medicaid","225 BENNETT RD","BUFFALO","NY","Erie",14227,"1455303N",1243512,"NURSING HOME CARE SHORT TERM REHAB",7735900
"7649",1306119078,"HealthNow of New York, Inc","225 BENNETT RD","BUFFALO","NY","Erie",14227,"1455303N",1243512,"NURSING HOME CARE SHORT TERM REHAB",7735900
"7650",1306148317,"HealthNow of New York, Inc: Medicaid","6510 BROCKPORT SPENCERPORT RD","BROCKPORT","NY","Monroe",14420,NA,3305539,"PHARMACY",6377705
"7651",1306148317,"MVP Health Plan, Inc.","6510 BROCKPORT SPENCERPORT RD","BROCKPORT","NY","Monroe",14420,"00030523",3305539,"PHARMACY",6377705
"7652",1306148317,"Excellus Health Plan, Inc.","6510 BROCKPORT SPENCERPORT RD","BROCKPORT","NY","Monroe",14420,NA,3305539,"PHARMACY",6377705
"7653",1306148317,"Excellus Health Plan, Inc./Univera Healthcare","6510 BROCKPORT SPENCERPORT RD","BROCKPORT","NY","Monroe",14420,NA,3305539,"PHARMACY",6377705
"7659",1306148317,"HealthNow of New York, Inc","6510 BROCKPORT SPENCERPORT RD","BROCKPORT","NY","Monroe",14420,NA,3305539,"PHARMACY",6377705
"7665",1306150578,"Excellus Health Plan, Inc./Univera Healthcare","4975 TRANSIT RD","DEPEW","NY","Erie",14043,NA,3925660,"PHARMACY",2063087
"7669",1306150578,"HealthNow of New York, Inc","4975 TRANSIT RD","DEPEW","NY","Erie",14043,NA,3925660,"PHARMACY",2063087
"7670",1306150578,"Excellus Health Plan, Inc.","4975 TRANSIT RD","DEPEW","NY","Erie",14043,NA,3925660,"PHARMACY",2063087
"7676",1306150578,"MVP Health Plan, Inc.","4975 TRANSIT RD","DEPEW","NY","Erie",14043,"00030322",3925660,"PHARMACY",2063087
"7682",1306807193,"Excellus Health Plan, Inc./Univera Healthcare","264 W DOMINICK ST","ROME","NY","Oneida",13440,NA,3001416,"PRIVATE PSYCH & ASA INPATIENT",3344701
"7684",1306807193,"Excellus Health Plan, Inc.","264 W DOMINICK ST","ROME","NY","Oneida",13440,NA,3001416,"PRIVATE PSYCH & ASA INPATIENT",3344701
"7686",1306808753,"HealthNow of New York, Inc","100 AMHERST VILLA RD","BUFFALO","NY","Erie",14225,"99999999",1653763,"AMBULANCE",6264100
"7687",1306808753,"HealthNow of New York, Inc: Medicaid","100 AMHERST VILLA RD","BUFFALO","NY","Erie",14225,NA,1653763,"OTHER",9275845
"7688",1306832613,"Excellus Health Plan, Inc./Univera Healthcare","254 ALEXANDER ST","ROCHESTER","NY","Monroe",14607,"2701345N",817189,"PHYSICAL THERAPY",9867882
"7689",1306832613,"Excellus Health Plan, Inc.","254 ALEXANDER ST","ROCHESTER","NY","Monroe",14607,"2701345N",817189,"PHYSICAL THERAPY",9867882
"7692",1306832613,"MVP Health Plan, Inc.","254 ALEXANDER ST","ROCHESTER","NY","Monroe",14607,"2701345N",NA,"INSTITUTIONAL LTC",4611991
"7693",1306863477,"Excellus Health Plan, Inc./Univera Healthcare","341 RT 104 E","OSWEGO","NY","Oswego",13126,NA,1376530,"PHARMACY",3422212
"7695",1306863477,"HealthNow of New York, Inc","341 RT 104 E","OSWEGO","NY","Oswego",13126,NA,1376530,"PHARMACY",3422212
"7696",1306863477,"Excellus Health Plan, Inc.","341 RT 104 E","OSWEGO","NY","Oswego",13126,NA,1376530,"PHARMACY",3422212
"7706",1306863477,"MVP Health Plan, Inc.","341 STATE ROUTE 104","OSWEGO","NY","Oswego",13126,"00023370",1376530,"PHARMACY",3422212
"7707",1306868930,"MVP Health Plan, Inc.","1750 WALDEN AVE","BUFFALO","NY","Erie",14225,"00034157",1689463,"PHARMACY",8960673
"7708",1306868930,"Excellus Health Plan, Inc.","1750 WALDEN AVE","BUFFALO","NY","Erie",14225,NA,1689463,"PHARMACY",8960673
"7709",1306868930,"Excellus Health Plan, Inc./Univera Healthcare","1750 WALDEN AVE","BUFFALO","NY","Erie",14225,NA,1689463,"PHARMACY",8960673
"7713",1306868930,"HealthNow of New York, Inc","1750 WALDEN AVE","BUFFALO","NY","Erie",14225,NA,1689463,"PHARMACY",8960673
"7720",1306868930,"HealthNow of New York, Inc: Medicaid","1750 WALDEN AVE","BUFFALO","NY","Erie",14225,NA,1689463,"PHARMACY",8960673
"7722",1306868955,"Excellus Health Plan, Inc.","40 CATHERWOOD RD","ITHACA","NY","Tompkins",14850,NA,2348052,"PHARMACY",2570291
"7723",1306868955,"HealthNow of New York, Inc","40 CATHERWOOD RD","ITHACA","NY","Tompkins",14850,NA,2348052,"PHARMACY",2570291
"7725",1306868955,"Excellus Health Plan, Inc./Univera Healthcare","40 CATHERWOOD RD","ITHACA","NY","Tompkins",14850,NA,2348052,"PHARMACY",2570291
"7727",1306868955,"MVP Health Plan, Inc.","40 CATHERWOOD RD","ITHACA","NY","Tompkins",14850,"00034176",2348052,"PHARMACY",2570291
"7736",1306875257,"HealthNow of New York, Inc","20 HAZELWOOD DR","BUFFALO","NY","Erie",14228,"88888888",99999999,"DURABLE MEDICAL EQUIPMENT",5642081
"7737",1306875257,"HealthNow of New York, Inc: Medicaid","20 HAZELWOOD DR","BUFFALO","NY","Erie",14228,"88888888",99999999,"DURABLE MEDICAL EQUIPMENT",5642081
"7740",1306893169,"Excellus Health Plan, Inc./Univera Healthcare","48 HARRISON ST","JOHNSON CITY","NY","Broome",13790,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",7295016
"7742",1306893169,"Excellus Health Plan, Inc.","48 HARRISON ST","JOHNSON CITY","NY","Broome",13790,NA,99999999,"OPTICIAN/CONTACT LENS PRIVILGE",7295016
"7744",1306898523,"HealthNow of New York, Inc","1300 COLLEGE AVE","ELMIRA","NY","Chemung",14901,"99999999",2730490,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7347215
"7745",1306898523,"HealthNow of New York, Inc: Medicaid","1300 COLLEGE AVE","ELMIRA","NY","Chemung",14901,NA,917253,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7347215
"7746",1306898523,"MVP Health Plan, Inc.","201 DATES DR","ITHACA","NY","Tompkins",14850,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",2276620
"7747",1306898523,"MVP Health Plan, Inc.","310 PENNSYLVANIA AVE","ELMIRA","NY","Chemung",14904,NA,2158529,"ORTHOPEDIC - CLINIC SPECIALTY",7347215
"7748",1306898523,"MVP Health Plan, Inc.","310 PENNSYLVANIA AVE","ELMIRA","NY","Chemung",14904,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7347215
"7749",1306898523,"MVP Health Plan, Inc.","33 MITCHELL AVE","BINGHAMTON","NY","Broome",13903,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7714672
"7750",1306898523,"MVP Health Plan, Inc.","37 ASSOCIATE DR","ONEONTA","NY","Otsego",13820,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",4312526
"7751",1306898523,"MVP Health Plan, Inc.","510 PRE-EMTION RD","GENEVA","NY","Ontario",14456,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7815173
"7752",1306898523,"MVP Health Plan, Inc.","6 RHOADS DR","UTICA","NY","Oneida",13502,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7330105
"7753",1306898523,"MVP Health Plan, Inc.","65 PENNSYLVANIA AVE","ELMIRA","NY","Chemung",14904,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7347215
"7754",1306898523,"MVP Health Plan, Inc.","67 PENNSYLVANIA AVE","ELMIRA","NY","Chemung",14904,"00000000",2158529,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",7347215
"7755",1306901913,"Excellus Health Plan, Inc.","1000 ELMWOOD AVE","ROCHESTER","NY","Monroe",14620,NA,355317,"PRIVATE PSYCH & ASA INPATIENT",2712520
